scheme_id,rule_id,section,attribute,operator,normalized_value,evidence_text
S038,S038-E003,,income,INFORMATION,The mother/father/guardian/guardian of the student should not be an income taxpayer.,The mother/father/guardian/guardian of the student should not be an income taxpayer.
S038,S038-E004,,gender,INFORMATION,"The girl students, who are studying in residential schools/ashram hostels run by the government, they will not be entitled.","The girl students, who are studying in residential schools/ashram hostels run by the government, they will not be entitled."
S038,S038-E005,,special_condition,INFORMATION,Vaidya Bhamashah card and Aadhaar should be there.,Vaidya Bhamashah card and Aadhaar should be there.
S038,S038-E006,,residency,INFORMATION,Students should be a native of Rajasthan.,Students should be a native of Rajasthan.
S039,S039-E001,Eligibility,gender,==,female,"Girl Student should belong to V.J.N.T. or S.B.C category."
S039,S039-E002,Eligibility,social_category,IN,"VJNT,SBC","Girl Student should belong to V.J.N.T. or S.B.C category."
S039,S039-E003,Eligibility,school_class,RANGE,8-10,"Girl Student should be studying in 8th to 10th Standard."
S039,S039-E004,Eligibility,state,==,Maharashtra,"Girl Student should be studying in 8th to 10th Standard."
S039,S039-E005,Eligibility,income_limit,NO_LIMIT,No income limit,"No income limit and there will be no limit of marks."
S039,S039-E006,Eligibility,marks_requirement,NO_LIMIT,No marks limit,"No income limit and there will be no limit of marks."
S040,S040-E001,,special_condition,INFORMATION,1\.   The applicant should be an Indian National.,1\.   The applicant should be an Indian National.
S040,S040-E002,,special_condition,INFORMATION,2\.   The applicant should be any one of the following -:,2\.   The applicant should be any one of the following -:
S040,S040-E003,,education,INFORMATION,"Students in Post Graduate Courses — MBA (Finance), Law Students in 4th/5th Year of a five-year stream with consistent and excellent academic records/fresh graduates with excellent academic records possessing a first-class graduation degree;","Students in Post Graduate Courses — MBA (Finance), Law Students in 4th/5th Year of a five-year stream with consistent and excellent academic records/fresh graduates with excellent academic records possessing a first-class graduation degree;"
S040,S040-E004,,age,INFORMATION,Students pursuing post-graduation with a high second-class graduation degree (with at least 55% marks/students pursuing Masters/Research Courses in Economics/Finance/Management/Law at the National School of Economics/Law / Computer Forensics from recognized universities in India and Abroad.,Students pursuing post-graduation with a high second-class graduation degree (with at least 55% marks/students pursuing Masters/Research Courses in Economics/Finance/Management/Law at the National School of Economics/Law / Computer Forensics from recognized universities in India and Abroad.
S040,S040-E005,,age,INFORMATION,"Students pursuing final year or the equivalent of ICAI, ICAI(CMA), ICSI/Central Universities/AICTE recognized financial/Economic Institutions/recognized National Management Institutes/Foreign Universities and Institutions of Excellence.","Students pursuing final year or the equivalent of ICAI, ICAI(CMA), ICSI/Central Universities/AICTE recognized financial/Economic Institutions/recognized National Management Institutes/Foreign Universities and Institutions of Excellence."
S040,S040-E006,,education,INFORMATION,"3\.  In the case of Graduate Applicants, the applicant should have secured First Class Degree in Graduation.","3\.  In the case of Graduate Applicants, the applicant should have secured First Class Degree in Graduation."
S041,S041-E001,,gender,INFORMATION,The applicant should be Transgender.,The applicant should be Transgender.
S041,S041-E002,,residency,INFORMATION,The applicant should be a resident of Kerala.,The applicant should be a resident of Kerala.
S041,S041-E003,,gender,INFORMATION,"Transgender students who have secured admission in merit seats in Government, Aided/Self-financing colleges are eligible under this scheme.","Transgender students who have secured admission in merit seats in Government, Aided/Self-financing colleges are eligible under this scheme."
S041,S041-E004,,gender,INFORMATION,"Transgender students who secure admission for courses MBBS, Bachelor of Veterinary Science (BVSc), and BSc Agriculture in Government colleges are eligible.","Transgender students who secure admission for courses MBBS, Bachelor of Veterinary Science (BVSc), and BSc Agriculture in Government colleges are eligible."
S041,S041-E005,,gender,INFORMATION,Transgender students pursuing Diploma level government-accredited courses are also eligible.,Transgender students pursuing Diploma level government-accredited courses are also eligible.
S041,S041-E006,,gender,INFORMATION,Transgender students who have completed 18 years must submit a copy of their Transgender ID card.,Transgender students who have completed 18 years must submit a copy of their Transgender ID card.
S041,S041-E007,,gender,INFORMATION,Those Transgender students who are below 18 years must submit a self-declaration statement duly certified by the Head of Institution/Parent.,Those Transgender students who are below 18 years must submit a self-declaration statement duly certified by the Head of Institution/Parent.
S042,S042-E001,,education,INFORMATION,The student must have secured 60% or more marks in the 12th standard.,The student must have secured 60% or more marks in the 12th standard.
S042,S042-E002,,age,INFORMATION,"The girl must reside in a rural area and possess a ""Gaon Ki Beti"" (Daughter of the Village) certificate.","The girl must reside in a rural area and possess a ""Gaon Ki Beti"" (Daughter of the Village) certificate."
S042,S042-E003,,education,INFORMATION,She must be enrolled in a recognized institution for higher education.,She must be enrolled in a recognized institution for higher education.
S043,S043-E001,,gender,INFORMATION,The applicant should be a girl.,The applicant should be a girl.
S043,S043-E002,,education,INFORMATION,The applicant should be a student.,The applicant should be a student.
S043,S043-E003,,education,INFORMATION,The applicant should be studying in class VIII(8) in Government School of the UT of Dadra & Nagar Haveli and Daman & Diu.,The applicant should be studying in class VIII(8) in Government School of the UT of Dadra & Nagar Haveli and Daman & Diu.
S044,S044-E001,,gender,INFORMATION,The girl student should belong to the tribal class of Rajasthan.,The girl student should belong to the tribal class of Rajasthan.
S044,S044-E002,,gender,INFORMATION,The girl student should be regularly studying general education in a private/government college.,The girl student should be regularly studying general education in a private/government college.
S044,S044-E003,,income,INFORMATION,The parent/guardian/guardian/husband of the student should not be an income taxpayer.,The parent/guardian/guardian/husband of the student should not be an income taxpayer.
S044,S044-E004,,education,INFORMATION,"After passing the board examination, there should not be any gap in the continuous study of the student applying for the scheme.","After passing the board examination, there should not be any gap in the continuous study of the student applying for the scheme."
S044,S044-E005,,education,INFORMATION,The student who is studying by living in a hostel run by the government. They will not be entitled to benefit under the said scheme.,The student who is studying by living in a hostel run by the government. They will not be entitled to benefit under the said scheme.
S044,S044-E006,,special_condition,INFORMATION,Must have Vaidya Bhamashah card and Aadhaar card.,Must have Vaidya Bhamashah card and Aadhaar card.
S044,S044-E007,,gender,INFORMATION,The girl student should be a native of Rajasthan.,The girl student should be a native of Rajasthan.
S045,S045-E001,,residency,INFORMATION,The applicant should be a resident of Jharkhand state.,The applicant should be a resident of Jharkhand state.
S045,S045-E002,,residency,INFORMATION,The student should have passed class 10th from any recognized school in the state of Jharkhand **or** the student should possess a local residence certificate of Jharkhand.,The student should have passed class 10th from any recognized school in the state of Jharkhand **or** the student should possess a local residence certificate of Jharkhand.
S045,S045-E003,,education,INFORMATION,"The student must meet the exam's eligibility criteria for coaching under this scheme. For exams requiring Class 12th qualification, Class 11th students at the time of application are also eligible.","The student must meet the exam's eligibility criteria for coaching under this scheme. For exams requiring Class 12th qualification, Class 11th students at the time of application are also eligible."
S045,S045-E004,,residency,<=,"₹8,00,000","The student's annual family income should be less than ₹8,00,000/- **or** the student should be covered under the National/State Food Security Scheme."
S045,S045-E005,,prior_benefit,INFORMATION,An applicant who has already received similar benefits from another department is not eligible for dual benefits.,An applicant who has already received similar benefits from another department is not eligible for dual benefits.
S045,S045-E006,,education,INFORMATION,The student can avail the benefit only once under this scheme.,The student can avail the benefit only once under this scheme.
S045,S045-E007,,special_condition,INFORMATION,﻿,﻿
S046,S046-E001,,residency,INFORMATION,The applicant should be a permanent resident of Bihar.,The applicant should be a permanent resident of Bihar.
S046,S046-E002,,social_category,INFORMATION,The applicant should belong to the Scheduled Caste or Scheduled Tribe category.,The applicant should belong to the Scheduled Caste or Scheduled Tribe category.
S046,S046-E003,,special_condition,INFORMATION,"The applicant should have passed the preliminary examination of the Civil Services Competitive Examination conducted by either the Bihar Public Service Commission, Patna, or the Union Public Service Commission, New Delhi.","The applicant should have passed the preliminary examination of the Civil Services Competitive Examination conducted by either the Bihar Public Service Commission, Patna, or the Union Public Service Commission, New Delhi."
